Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-5651801,"PCNA-Dependent Long Patch Base Excision Repair",20,23,0.0016116600098101043,0.07795063804951874,0.795857212076082,6,6,4.419238417912646E-4,9606,Homo sapiens,"5111;5981;5982;5983;3363;10714;2237;5423;5984;6117;328;5424;5985;54107;6119;5425;6118;5426;5427;57804;3978","","R-HSA-110368;R-HSA-110371;R-HSA-5651809;R-HSA-110363;R-HSA-5651805;R-HSA-110364"
R-HSA-168164,"Toll Like Receptor 3 (TLR3) Cascade",74,102,0.007147361782636115,0.07925706074969752,0.795857212076082,61,61,0.004492892391544523,9606,Homo sapiens,"8772;6197;2191;8454;6196;7321;7323;6233;2353;2791;6195;9261;351;1499;1497;2068;2189;10010;8767;4205;4208;7098;5594;5595;7334;2043;2042;2040;23291;29110;2237;1147;841;23098;1386;329;3725;9641;7189;4790;4791;10392;4793;3661;79155;148022;3615;5519;330;2843;28511;8945;5599;3654;3656;5515;26091;5516;5518;22826;5970;6500;2067;1495;3551;2064;23358;23118;1326;1523;466;51231;3146;6416;3665;1849;7867;5602;1848;1528;5604;1846;5528;5606;1845","","R-HSA-177671;R-HSA-9013889;R-HSA-9628444;R-HSA-9013895;R-HSA-198669;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-203797;R-HSA-177690;R-HSA-450333;R-HSA-177694;R-HSA-177692;R-HSA-168092;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-451634;R-HSA-9014320;R-HSA-9013963;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-168140;R-HSA-9014343;R-HSA-5684248;R-HSA-9014342;R-HSA-9013979;R-HSA-847070;R-HSA-9013978;R-HSA-199895;R-HSA-450259;R-HSA-450257;R-HSA-198746;R-HSA-9630923;R-HSA-9013974;R-HSA-168930;R-HSA-168162;R-HSA-9013992;R-HSA-168929;R-HSA-168166;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-198756;R-HSA-168933;R-HSA-9013985;R-HSA-9013986;R-HSA-199917;R-HSA-9013990;R-HSA-450292;R-HSA-5684261;R-HSA-168053;R-HSA-168184;R-HSA-168440;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
R-HSA-2682334,"EPH-Ephrin signaling",74,102,0.007147361782636115,0.07925706074969752,0.795857212076082,56,56,0.004124622523385137,9606,Homo sapiens,"5063;10092;5663;10097;10096;85409;5062;29985;2026;1212;1211;9475;7410;2045;2044;2043;160;2042;3251;1072;163;1503;56106;10109;10627;55851;7525;1829;1949;8976;60;83464;8218;1827;1629;1947;1826;5747;1946;6714;64283;1945;8997;6453;8874;2055;23223;2054;23741;3140;6093;2050;4628;1832;4629;1831;2049;2047;23385;71;10398;10552;51107;5879;1759;4627;2180;6383;6386;8440;5058;1175;58189;1173;28964;2060;387;3425;2534;102;55033;56122;2135;2134;4313;5921;1969;103910;2935;4637;2736","","R-HSA-3928633;R-HSA-3928632;R-HSA-3928639;R-HSA-3928627;R-HSA-3928625;R-HSA-3928624;R-HSA-3928631;R-HSA-3928628;R-HSA-3928619;R-HSA-3928617;R-HSA-3928616;R-HSA-3928623;R-HSA-3928620;R-HSA-3928610;R-HSA-3928608;R-HSA-3928615;R-HSA-3928614;R-HSA-3928612;R-HSA-4093342;R-HSA-3928602;R-HSA-3928601;R-HSA-3928600;R-HSA-3928607;R-HSA-4093339;R-HSA-4093336;R-HSA-3928604;R-HSA-3928595;R-HSA-3928594;R-HSA-4093332;R-HSA-3928592;R-HSA-4093330;R-HSA-4093331;R-HSA-3928598;R-HSA-3928597;R-HSA-4093329;R-HSA-4093327;R-HSA-3928584;R-HSA-3928591;R-HSA-3928588;R-HSA-3928578;R-HSA-3928577;R-HSA-3928576;R-HSA-3928583;R-HSA-3928580;R-HSA-3928657;R-HSA-3928656;R-HSA-3928660;R-HSA-3928651;R-HSA-3928648;R-HSA-3928654;R-HSA-3928642;R-HSA-3928641;R-HSA-3928640;R-HSA-3928646;R-HSA-3928645;R-HSA-3928644"
R-HSA-3371378,"Regulation by c-FLIP",11,11,7.707939177352673E-4,0.07941205903072657,0.795857212076082,4,4,2.9461589452750976E-4,9606,Homo sapiens,"8772;8795;7186;355;841;3880;2189;8797;25960;8837;1879;8717","","R-HSA-3371360;R-HSA-3465459;R-HSA-3465448;R-HSA-3371359"
R-HSA-69416,"Dimerization of procaspase-8",11,11,7.707939177352673E-4,0.07941205903072657,0.795857212076082,3,3,2.209619208956323E-4,9606,Homo sapiens,"8772;8795;7186;355;841;3880;2189;8797;25960;8837;1879;8717","","R-HSA-141159;R-HSA-141156;R-HSA-73945"
R-HSA-9696273,"RND1 GTPase cycle",34,43,0.0030131034966014996,0.08220407238725835,0.795857212076082,1,2,1.4730794726375488E-4,9606,Homo sapiens,"11180;5361;5783;92105;2909;94240;1362;90480;9462;22852;56951;1832;57449;57222;55704;857;55789;22800;85480;25814;5295;8502;91445;27316;10818;81839;9352;9231;2280;3329;57579;57216;23592;57498;9528;30837;1969;9928;2319;10963","","R-HSA-9696271"
R-HSA-2555396,"Mitotic Metaphase and Anaphase",170,250,0.01751804358489244,0.08546554964509767,0.795857212076082,33,33,0.0024305811298519554,9606,Homo sapiens,"9861;54908;7321;25904;8655;7444;7443;6233;11065;7324;2551;2275;7280;23047;1063;1062;9184;26271;991;151648;55166;1058;996;27243;79019;23165;151246;128866;10376;9735;9631;9232;64682;10381;10383;23332;119504;79003;5707;5708;55055;5709;81565;22919;7846;7329;5700;5701;5702;113130;8815;84790;9883;7341;348995;348235;5685;9126;23421;220134;57122;57082;84617;29882;5717;891;5719;57405;51143;147841;3014;6249;54933;5710;5711;54931;3930;5714;27183;7979;5716;51703;4085;7112;9133;91782;5694;4000;5695;4001;5696;64105;9491;23431;401541;58189;200014;25978;79023;3428;10403;54820;80776;701;51434;5720;85300;54821;2619;6396;9700;129401;8697;2909;1781;23122;1780;81929;79172;1778;81930;3837;10735;55920;7514;3796;5699;10213;9793;91687;27338;57551;56180;79682;27175;5905;2512;2631;90987;90624;5501;5347;1949;3842;83540;5901;80152;5903;23091;22933;5520;9688;10393;27303;2491;5519;332;55143;27300;1950;3215;699;347733;5515;3619;140735;11004;5516;55706;5518;23636;25936;9212;7277;23518;8243;8881;11130;221496;23511;64946;53371;79980;983;23592;10726;79902;5885;30837;30836;55839;5528","","R-HSA-163010;R-HSA-174144;R-HSA-2467809;R-HSA-2467811;R-HSA-9624798;R-HSA-9615901;R-HSA-2995389;R-HSA-9668419;R-HSA-2995388;R-HSA-9615937;R-HSA-2545203;R-HSA-9618378;R-HSA-2467775;R-HSA-9615945;R-HSA-2995376;R-HSA-9624845;R-HSA-9667952;R-HSA-9668405;R-HSA-9634169;R-HSA-174121;R-HSA-9668415;R-HSA-3000449;R-HSA-9667965;R-HSA-9624893;R-HSA-9624800;R-HSA-2467798;R-HSA-9668389;R-HSA-9668395;R-HSA-174202;R-HSA-9634219;R-HSA-9668335;R-HSA-9668398;R-HSA-9624876"
R-HSA-380287,"Centrosome maturation",61,83,0.00581599047018429,0.08576895981467192,0.795857212076082,6,6,4.419238417912646E-4,9606,Homo sapiens,"22913;9662;8655;11064;1781;3320;22994;22995;7283;1778;10733;80321;114791;203068;1454;1453;55125;9814;5577;85378;9793;7532;7531;10383;23332;95681;27175;10426;2117;653784;90624;5347;22919;10142;54801;7846;10540;5108;4751;55142;2171;22897;27229;1997;5116;79959;1639;51704;5518;93323;7277;23354;22981;440145;10844;1964;121441;983;54820;55755;10806;5566;8636;11258;80097;84131;4957","","R-HSA-380311;R-HSA-380455;R-HSA-380294;R-HSA-380272;R-HSA-380303;R-HSA-380283"
R-HSA-68882,"Mitotic Anaphase",169,249,0.01744797141055287,0.08995679958371916,0.795857212076082,32,32,0.002356927156220078,9606,Homo sapiens,"9861;54908;7321;25904;8655;7444;7443;6233;11065;7324;2551;2275;7280;23047;1063;1062;9184;991;151648;55166;1058;996;27243;79019;23165;151246;128866;10376;9735;9631;9232;64682;10381;10383;23332;119504;79003;5707;5708;55055;5709;81565;22919;7846;7329;5700;5701;5702;113130;8815;84790;9883;7341;348995;348235;5685;9126;23421;220134;57122;57082;84617;29882;5717;891;5719;57405;51143;147841;3014;6249;54933;5710;5711;54931;3930;5714;27183;7979;5716;51703;4085;7112;9133;91782;5694;4000;5695;4001;5696;64105;9491;23431;401541;58189;200014;25978;79023;3428;10403;54820;80776;701;51434;5720;85300;54821;2619;6396;9700;129401;8697;2909;1781;23122;1780;81929;79172;1778;81930;3837;10735;55920;7514;3796;5699;10213;9793;91687;27338;57551;56180;79682;27175;5905;2512;2631;90987;90624;5501;5347;1949;3842;83540;5901;80152;5903;23091;22933;5520;9688;10393;27303;2491;5519;332;55143;27300;1950;3215;699;347733;5515;3619;140735;11004;5516;55706;5518;23636;25936;9212;7277;23518;8243;8881;11130;221496;23511;64946;53371;79980;983;23592;10726;79902;5885;30837;30836;55839;5528","","R-HSA-174144;R-HSA-2467809;R-HSA-2467811;R-HSA-9624798;R-HSA-9615901;R-HSA-2995389;R-HSA-9668419;R-HSA-2995388;R-HSA-9615937;R-HSA-2545203;R-HSA-9618378;R-HSA-2467775;R-HSA-9615945;R-HSA-2995376;R-HSA-9624845;R-HSA-9667952;R-HSA-9668405;R-HSA-9634169;R-HSA-174121;R-HSA-9668415;R-HSA-3000449;R-HSA-9667965;R-HSA-9624893;R-HSA-9624800;R-HSA-2467798;R-HSA-9668389;R-HSA-9668395;R-HSA-174202;R-HSA-9634219;R-HSA-9668335;R-HSA-9668398;R-HSA-9624876"
R-HSA-9675126,"Diseases of mitotic cell cycle",30,38,0.0026627426249036506,0.0984094804941964,0.795857212076082,5,5,3.682698681593872E-4,9606,Homo sapiens,"7321;8697;11065;7027;7324;10393;1021;2294;29882;1019;595;1017;996;51343;27123;1870;6502;54931;1616;1978;51703;64682;8881;9134;27338;119504;1028;1027;1026;546;51434;85300;7029;1869;5925","","R-HSA-9687377;R-HSA-9660615;R-HSA-9659782;R-HSA-9670619;R-HSA-9670620"
R-HSA-5620912,"Anchoring of the basal body to the plasma membrane",71,99,0.006937145259617406,0.09902770502213643,0.795857212076082,9,9,6.628857626868969E-4,9606,Homo sapiens,"22913;9662;8655;347240;11064;1781;3320;23322;22994;22995;7283;22832;1778;10733;80321;203068;1454;1453;55125;9814;5577;9793;7532;7531;10383;26005;23332;261734;95681;2117;26123;51134;90624;5347;22919;10142;54801;7846;10540;5108;54806;4218;4735;4751;55142;2171;22897;1997;79598;54813;5116;54536;79959;1639;51704;5518;93323;7277;132320;91147;23354;22981;58189;27077;121441;983;54820;55755;80776;79867;10806;85302;5566;8636;11258;84131;54903;4957","","R-HSA-5626228;R-HSA-5626227;R-HSA-5638014;R-HSA-5626220;R-HSA-5626223;R-HSA-5626681;R-HSA-5617816;R-HSA-5626699;R-HSA-5638009"
R-HSA-350054,"Notch-HLH transcription pathway",23,28,0.001962020881507953,0.09905475566993105,0.795857212076082,2,2,1.4730794726375488E-4,9606,Homo sapiens,"50628;22998;8850;22938;3066;3065;3516;6907;51564;2861;10013;10014;79718;2648;9794;9612;9734;9611;25850;55534;1387;4851;10046;4853;56928;2619;2618;2617;50626;2736","","R-HSA-212356;R-HSA-350058"
R-HSA-77387,"Insulin receptor recycling",23,28,0.001962020881507953,0.09905475566993105,0.795857212076082,5,6,4.419238417912646E-4,9606,Homo sapiens,"8992;90423;22990;245972;23545;533;830;831;535;832;811;537;813;814;10312;817;155066;819;51606;9296;9550;523;821;822;526;823;3643;527;824;528;826;529;829","","R-HSA-74723;R-HSA-5252133;R-HSA-74726;R-HSA-74733;R-HSA-74734"
R-HSA-9013406,"RHOQ GTPase cycle",47,63,0.004414546983392895,0.09948658294028634,0.795857212076082,4,5,3.682698681593872E-4,9606,Homo sapiens,"11060;6510;9743;2909;57584;392;9341;55240;5062;26073;874;55004;85457;54438;9815;7879;85480;81839;115703;2040;2280;26084;3728;26122;54962;84033;8976;1508;8476;6453;8874;57120;2131;2690;143098;23380;23580;10395;857;55789;26091;8826;9497;5058;9578;58189;28964;200894;23513;10602;84858;81624;2697;55114;2332;2134;85465;128239;11135;27072;2935","","R-HSA-9018745;R-HSA-9018747;R-HSA-9018746;R-HSA-5627072"
R-HSA-9696270,"RND2 GTPase cycle",34,44,0.0030831756709410693,0.10263705556093927,0.795857212076082,2,2,1.4730794726375488E-4,9606,Homo sapiens,"11180;5783;7126;2909;90480;392;8153;22852;56951;26073;3215;55227;57222;85457;11188;3895;857;10970;55789;157285;85480;25814;5295;8502;91445;27316;10818;81839;9352;9231;23513;2280;3329;57216;23074;253980;23592;57498;10726;30837;1969;9928","","R-HSA-9696275;R-HSA-9696266"
R-HSA-4615885,"SUMOylation of DNA replication proteins",38,50,0.003503608716978488,0.10551310745368259,0.795857212076082,8,8,5.892317890550195E-4,9606,Homo sapiens,"9883;7341;348995;6790;6396;129401;9688;81929;57122;84936;4927;332;55143;23165;51588;54978;1936;3619;55706;23636;9212;3191;9631;7153;7175;5111;100101267;23431;8086;23511;7150;53371;8021;79023;5905;3269;90987;6612;79902;7329;10762;5903;10401","","R-HSA-4615910;R-HSA-4641350;R-HSA-5228525;R-HSA-4641362;R-HSA-4641345;R-HSA-4641342;R-HSA-4655404;R-HSA-4655355"
R-HSA-113510,"E2F mediated regulation of DNA replication",20,24,0.0016817321841496743,0.10597760238304854,0.795857212076082,4,4,2.9461589452750976E-4,9606,Homo sapiens,"23649;5000;5001;7027;5422;23595;23155;5519;891;84515;983;23594;7029;5557;5558;5515;4998;5516;1869;5518;5925","","R-HSA-113504;R-HSA-113638;R-HSA-113643;R-HSA-113503"
R-HSA-975956,"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",72,101,0.007077289608296546,0.10598196828116446,0.795857212076082,1,1,7.365397363187744E-5,9606,Homo sapiens,"6230;6152;6155;6154;6231;6157;6156;6233;6159;22916;6158;6235;23521;6193;6194;2107;6227;6229;55922;11224;200916;6166;6124;6168;6201;6167;6203;6169;6125;6202;25873;116832;56141;6160;6161;3601;1981;3921;4736;6175;6130;6133;9045;6176;6132;6135;6134;6137;23708;6136;55142;6171;6170;51065;6128;6207;6129;6206;6209;6208;6142;6144;6188;6143;6187;6222;6189;6147;6224;26986;58189;6181;55759;6218;6217;2935","","R-HSA-927789"
R-HSA-2565942,"Regulation of PLK1 Activity at G2/M Transition",66,92,0.006446640039240417,0.10747536547836911,0.795857212076082,12,12,8.838476835825292E-4,9606,Homo sapiens,"8454;6790;22913;9662;8655;6233;11064;1781;3320;22994;22995;7283;1778;10733;80321;203068;84962;1454;1453;55125;9814;5577;10133;1936;9793;4660;7532;7531;10383;3376;23332;95681;23291;2117;90624;5500;5347;22919;10142;54801;7846;10540;5108;4218;4659;4751;55142;2171;22897;891;1997;8945;5116;79959;1639;51704;5518;93323;7277;9133;6500;23354;22981;121441;983;54820;55755;10806;79866;5566;8636;11258;84131;4957","","R-HSA-3000335;R-HSA-3000319;R-HSA-3002798;R-HSA-4086410;R-HSA-2562594;R-HSA-3002811;R-HSA-2562526;R-HSA-3000327;R-HSA-2574845;R-HSA-3000310;R-HSA-3000339;R-HSA-2574840"
R-HSA-8854518,"AURKA Activation by TPX2",54,74,0.005185340901128162,0.10909861493953366,0.795857212076082,2,2,1.4730794726375488E-4,9606,Homo sapiens,"6790;22913;9662;8655;11064;1781;3320;22994;22995;3161;7283;1778;10733;80321;203068;1454;1453;55125;9814;5577;1936;9793;7532;7531;10383;23332;95681;2117;90624;5347;22919;10142;54801;7846;10540;5108;4751;55142;2171;22974;22897;1997;5116;79959;2805;1639;51704;5518;93323;7277;23354;22981;121441;983;54820;55755;10806;5566;8636;11258;84131;4957","","R-HSA-8853405;R-HSA-8853419"
R-HSA-72689,"Formation of a pool of free 40S subunits",75,106,0.007427650479994394,0.11241382603143013,0.795857212076082,2,2,1.4730794726375488E-4,9606,Homo sapiens,"6230;6152;6155;6154;6231;6157;6156;6233;6159;6158;6235;23521;6193;6194;6227;6229;55922;11224;8662;200916;8663;6166;8661;6124;6168;6201;8667;6167;6203;8664;6169;6125;6202;8665;25873;116832;56141;6160;6161;3601;23130;3646;3921;4736;6175;6130;6133;9045;6176;6132;6135;6134;6137;6136;55142;6171;6170;51065;6128;6207;8668;6129;6206;8669;6209;6208;6142;6144;6188;6143;6187;6222;6189;6147;6224;6181;1964;55759;6218;6217","","R-HSA-72673;R-HSA-72676"
R-HSA-168276,"NS1 Mediated Effects on Host Pathways",35,46,0.0032233200196202087,0.11469272702112843,0.795857212076082,5,6,4.419238417912646E-4,9606,Homo sapiens,"9883;348995;6396;129401;22916;9688;2909;81929;57122;84936;3836;10898;3837;3838;4927;3839;23165;54978;5610;9636;55706;23636;3191;9631;7175;8106;100101267;23431;8086;23511;53371;8021;79023;90987;79902;3840;3841;10762;5903","","R-HSA-168883;R-HSA-168896;R-HSA-168859;R-HSA-1176059;R-HSA-6791035"
R-HSA-110314,"Recognition of DNA damage by PCNA-containing replication complex",24,30,0.0021021652301870925,0.11513200910860621,0.795857212076082,6,6,4.419238417912646E-4,9606,Homo sapiens,"7398;7320;5111;5981;6233;5982;5983;56852;10714;1642;57599;5984;6117;5424;5985;6119;5425;54107;6118;5426;9978;5427;51514;57804","","R-HSA-5652005;R-HSA-5655466;R-HSA-5655483;R-HSA-5651992;R-HSA-5655481;R-HSA-5652009"
R-HSA-72706,"GTP hydrolysis and joining of the 60S ribosomal subunit",84,120,0.00840866092074837,0.11595179017573365,0.795857212076082,3,3,2.209619208956323E-4,9606,Homo sapiens,"6230;8894;6152;6155;6154;6231;6157;6156;6233;6159;6158;6235;23521;6193;6194;1975;1974;6227;6229;55922;11224;1977;8662;200916;8663;6166;8661;6124;6168;6201;8667;6167;6203;8664;6169;6125;6202;8665;25873;116832;56141;6160;6161;3601;1983;23130;1981;3646;3921;4736;6175;6130;6133;9045;6176;6132;6135;6134;6137;6136;55142;6171;6170;51065;6128;6207;8668;6129;6206;8669;6209;6208;6142;6144;6188;6143;6187;6222;6189;6147;6224;58189;6181;1965;1964;55759;6218;6217;1968","","R-HSA-72672;R-HSA-72619;R-HSA-72671"
R-HSA-69109,"Leading Strand Synthesis",14,16,0.0011211547894331162,0.11898242199669207,0.795857212076082,4,4,2.9461589452750976E-4,9606,Homo sapiens,"23649;5111;5981;5982;5983;5422;10714;5984;5424;5985;5557;5425;5558;57804","","R-HSA-69074;R-HSA-69063;R-HSA-69053;R-HSA-69068"
R-HSA-69091,"Polymerase switching",14,16,0.0011211547894331162,0.11898242199669207,0.795857212076082,4,4,2.9461589452750976E-4,9606,Homo sapiens,"23649;5111;5981;5982;5983;5422;10714;5984;5424;5985;5557;5425;5558;57804","","R-HSA-69074;R-HSA-69063;R-HSA-69053;R-HSA-69068"
R-HSA-5625900,"RHO GTPases activate CIT",19,23,0.0016116600098101043,0.11936187046545854,0.795857212076082,6,6,4.419238417912646E-4,9606,Homo sapiens,"4660;3376;3140;9055;4628;4629;387;1742;1027;388;389;5500;11113;10398;1509;9928;5879;103910;4659;4637;4627","","R-HSA-5671972;R-HSA-5671970;R-HSA-5625901;R-HSA-5671919;R-HSA-8981443;R-HSA-5671993"
R-HSA-9687139,"Aberrant regulation of mitotic cell cycle due to RB1 defects",28,36,0.002522598276224511,0.12106588208732794,0.795857212076082,3,3,2.209619208956323E-4,9606,Homo sapiens,"7321;8697;11065;7027;7324;10393;1021;2294;29882;1019;595;1017;996;51343;27123;1870;6502;54931;1978;51703;64682;8881;9134;27338;119504;1028;1027;1026;51434;85300;7029;1869;5925","","R-HSA-9687377;R-HSA-9660615;R-HSA-9659782"
R-HSA-193692,"Regulated proteolysis of p75NTR",11,12,8.408660920748371E-4,0.12307633517152361,0.795857212076082,5,5,3.682698681593872E-4,9606,Homo sapiens,"7189;4790;5970;5663;23358;85409;55650;3425;29105;1662;23385;55851;83464;51107","","R-HSA-193682;R-HSA-193702;R-HSA-193700;R-HSA-193679;R-HSA-209532"
R-HSA-190873,"Gap junction degradation",11,12,8.408660920748371E-4,0.12307633517152361,0.795857212076082,4,4,2.9461589452750976E-4,9606,Homo sapiens,"23223;1173;2690;1601;1785;2697;1212;1211;71;60;8218;4646;1759","","R-HSA-196017;R-HSA-190519;R-HSA-196026;R-HSA-190829"
R-HSA-2025928,"Calcineurin activates NFAT",11,12,8.408660920748371E-4,0.12307633517152361,0.795857212076082,3,3,2.209619208956323E-4,9606,Homo sapiens,"5530;4772;4773;5532;29108;3383;2280;29105;5478;801;4775;5534;2617","","R-HSA-2025882;R-HSA-2025890;R-HSA-9690461"
R-HSA-176187,"Activation of ATR in response to replication stress",30,39,0.0027328147992432207,0.12317615607634791,0.795857212076082,9,9,6.628857626868969E-4,9606,Homo sapiens,"4172;4173;4174;5000;4175;5001;4176;5982;5983;3364;63967;4171;55388;990;1017;993;995;1111;23595;23155;28986;84515;1960;23594;10926;8318;5984;6117;5985;6119;6118;8317;4998","","R-HSA-75010;R-HSA-69604;R-HSA-176116;R-HSA-176101;R-HSA-176250;R-HSA-176298;R-HSA-176264;R-HSA-176318;R-HSA-176175"
R-HSA-1980143,"Signaling by NOTCH1",60,84,0.00588606264452386,0.1258879866022602,0.795857212076082,39,39,0.00287250497164322,9606,Homo sapiens,"22998;3280;50628;8850;8454;6233;5663;2033;85409;3516;6907;4609;29105;51564;2861;92737;10013;9978;10014;3091;9794;8788;7091;7090;1272;83737;55294;54567;55534;26960;1387;2157;1662;55851;4851;83464;408;409;113878;22938;28514;3066;3065;54492;892;23220;23462;23385;142678;79718;51107;2648;26508;9612;9734;6500;9611;25850;182;57534;2735;3425;102;10046;56928;2619;2937;2618;2617;50626;2736","","R-HSA-157632;R-HSA-1980125;R-HSA-1980122;R-HSA-1980123;R-HSA-1980118;R-HSA-1980112;R-HSA-373706;R-HSA-4396371;R-HSA-1980047;R-HSA-1912396;R-HSA-1980044;R-HSA-1980109;R-HSA-1852623;R-HSA-1912398;R-HSA-1912393;R-HSA-1980042;R-HSA-1912394;R-HSA-1980041;R-HSA-4396379;R-HSA-1912388;R-HSA-1980039;R-HSA-1912391;R-HSA-9667657;R-HSA-1912385;R-HSA-4396382;R-HSA-1912386;R-HSA-157926;R-HSA-9667638;R-HSA-157353;R-HSA-1980078;R-HSA-1980074;R-HSA-1980138;R-HSA-1912357;R-HSA-4396347;R-HSA-1912359;R-HSA-1980130;R-HSA-1980067;R-HSA-1980128;R-HSA-1980065"
R-HSA-446353,"Cell-extracellular matrix interactions",16,19,0.0013313713124518253,0.12779983534817552,0.795857212076082,10,10,7.365397363187744E-4,9606,Homo sapiens,"6251;2316;2239;5829;29780;10979;55742;54751;71;60;55679;3688;7408;3987;2318;87","","R-HSA-430311;R-HSA-446391;R-HSA-446372;R-HSA-430308;R-HSA-430341;R-HSA-446322;R-HSA-432946;R-HSA-432897;R-HSA-446364;R-HSA-430347"
R-HSA-166166,"MyD88-independent TLR4 cascade ",75,107,0.007497722654333964,0.12798566773070696,0.795857212076082,60,60,0.004419238417912646,9606,Homo sapiens,"8772;6197;2191;8454;6196;7321;5781;7323;6233;2353;2791;6195;9261;351;1499;1497;2068;2189;10010;8767;4205;4208;5594;5595;7334;2043;2042;2040;23291;29110;2237;1147;841;23098;1386;329;3725;9641;7189;4790;4791;10392;4793;3661;2890;79155;148022;3615;5519;330;2843;28511;8945;5599;3654;3656;5515;26091;5516;5518;22826;5970;6500;2067;1495;3551;2064;23358;23118;1326;1523;466;51231;3146;6416;3665;1849;7867;5602;1848;1528;5604;1846;5528;5606;1845","","R-HSA-177671;R-HSA-198669;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-5362500;R-HSA-203797;R-HSA-936985;R-HSA-450333;R-HSA-166175;R-HSA-2562564;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-450358;R-HSA-451634;R-HSA-2213017;R-HSA-2569057;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-2562541;R-HSA-937029;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-168915;R-HSA-199895;R-HSA-450257;R-HSA-198746;R-HSA-9630923;R-HSA-168921;R-HSA-2201338;R-HSA-168162;R-HSA-936941;R-HSA-168166;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-166245;R-HSA-5362486;R-HSA-198756;R-HSA-168933;R-HSA-199917;R-HSA-450292;R-HSA-5684261;R-HSA-936952;R-HSA-168053;R-HSA-2559568;R-HSA-936951;R-HSA-168184;R-HSA-168440;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-166271;R-HSA-937075;R-HSA-936947;R-HSA-450296"
R-HSA-937061,"TRIF(TICAM1)-mediated TLR4 signaling ",75,107,0.007497722654333964,0.12798566773070696,0.795857212076082,58,58,0.0042719304706488916,9606,Homo sapiens,"8772;6197;2191;8454;6196;7321;5781;7323;6233;2353;2791;6195;9261;351;1499;1497;2068;2189;10010;8767;4205;4208;5594;5595;7334;2043;2042;2040;23291;29110;2237;1147;841;23098;1386;329;3725;9641;7189;4790;4791;10392;4793;3661;2890;79155;148022;3615;5519;330;2843;28511;8945;5599;3654;3656;5515;26091;5516;5518;22826;5970;6500;2067;1495;3551;2064;23358;23118;1326;1523;466;51231;3146;6416;3665;1849;7867;5602;1848;1528;5604;1846;5528;5606;1845","","R-HSA-177671;R-HSA-198669;R-HSA-450325;R-HSA-5609665;R-HSA-199959;R-HSA-5362500;R-HSA-203797;R-HSA-936985;R-HSA-450333;R-HSA-2562564;R-HSA-450337;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-450358;R-HSA-451634;R-HSA-2213017;R-HSA-2569057;R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-2562541;R-HSA-937029;R-HSA-5684250;R-HSA-168140;R-HSA-5684248;R-HSA-168915;R-HSA-199895;R-HSA-450257;R-HSA-198746;R-HSA-9630923;R-HSA-168921;R-HSA-2201338;R-HSA-168162;R-HSA-936941;R-HSA-168166;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-166245;R-HSA-5362486;R-HSA-198756;R-HSA-168933;R-HSA-199917;R-HSA-450292;R-HSA-5684261;R-HSA-936952;R-HSA-168053;R-HSA-936951;R-HSA-168184;R-HSA-168440;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-166271;R-HSA-937075;R-HSA-936947;R-HSA-450296"
R-HSA-450294,"MAP kinase activation",50,69,0.004834980029430313,0.12834966829883365,0.795857212076082,32,32,0.002356927156220078,9606,Homo sapiens,"6197;8454;6196;6233;2353;6195;9261;1499;1497;2068;8767;4205;4208;5594;5595;7334;2043;2042;23291;1147;1386;3725;7189;4790;10392;79155;5519;8945;5599;3654;3656;5515;26091;5516;5518;22826;6500;2067;1495;3551;2064;23358;23118;1326;1523;466;51231;6416;1849;7867;5602;1848;1528;5604;1846;5528;5606;1845","","R-HSA-451649;R-HSA-198731;R-HSA-168136;R-HSA-5684250;R-HSA-5684248;R-HSA-198669;R-HSA-450325;R-HSA-199895;R-HSA-199959;R-HSA-203797;R-HSA-450257;R-HSA-198746;R-HSA-450333;R-HSA-168162;R-HSA-5684275;R-HSA-199910;R-HSA-5684273;R-HSA-450337;R-HSA-198756;R-HSA-450222;R-HSA-450348;R-HSA-450346;R-HSA-199917;R-HSA-450292;R-HSA-5684261;R-HSA-451634;R-HSA-168053;R-HSA-168440;R-HSA-199929;R-HSA-199935;R-HSA-5684267;R-HSA-450296"
